mesh_code,centroid_transport_distance,weighted_mean_transport_distance,weighted_median_transport_distance,weighted_p90_transport_distance,transport_difference,centroid_medical_distance,weighted_mean_medical_distance,weighted_median_medical_distance,weighted_p90_medical_distance,medical_difference,population_weighted_mean_transport_distance,population_weighted_median_transport_distance,population_weighted_p90_transport_distance,population_weighted_mean_medical_distance,population_weighted_median_medical_distance,population_weighted_p90_medical_distance,residential_building_count,estimated_population_allocated,estimated_elderly_allocated,citywide_screening_rank,label
533512593,387.84480067289763,277.56709872518474,286.75514146868693,458.2547633787403,-110.2777019477129,580.3246239794789,468.0508592887294,443.49802707725837,678.5584049357157,-112.27376469074954,277.5670987251848,286.75514146868693,458.2547633787403,468.05085928872944,443.49802707725837,678.5584049357157,50,62.0,28.000000000000004,178,道芝口周辺
533512594,725.6273654718804,563.7600538355554,554.8679051365549,632.6939831871484,-161.86731163632498,849.6460459260143,639.8499630165178,630.3245736277844,725.0750509339168,-209.79608290949648,563.7600538355554,554.8679051365549,632.6939831871484,639.849963016518,630.3245736277844,725.0750509339168,27,33.0,14.0,143,舞鶴市リサイクルプラザ前周辺
533512682,473.85612468306607,312.0198846741359,331.3897440657093,408.12195323435174,-161.8362400089302,524.2617694726932,323.66514754014116,316.521844707673,370.47980223767894,-200.59662193255207,312.01988467413605,331.3897440657093,408.12195323435174,323.6651475401413,316.521844707673,370.47980223767894,44,61.0,34.000000000000014,162,道芝口周辺
533512683,601.7824126283984,358.65488800665065,305.0109231558428,687.0507912348543,-243.1275246217478,1133.0317676139662,1264.2385284139802,1305.4164449884681,1351.6631038803475,131.20676080001408,358.6548880066506,305.0109231558428,687.0507912348543,1264.2385284139805,1305.4164449884681,1351.6631038803475,21,49.00000000000001,10.000000000000002,154,和田周辺
533512684,644.1455499838265,565.0711593641388,497.32226623366523,757.9805517438166,-79.07439061968773,617.947061143473,627.4234743938605,540.9356018773343,835.0311136904454,9.476413250387509,565.071159364139,497.32226623366523,757.9805517438166,627.4234743938605,540.9356018773343,835.0311136904454,35,62.0,24.000000000000004,150,上四丁目周辺
533512691,134.41291403715854,178.9991079838893,170.98506497768133,280.611305013975,44.58619394673076,128.17104742033453,191.44694355678283,164.75178669989543,358.1212306973956,63.275896136448296,178.99910798388933,170.98506497768133,280.611305013975,191.4469435567828,164.75178669989543,358.1212306973956,377,686.0,243.0,260,道芝口周辺
533512692,664.3777972596554,509.0095098039972,505.7712164904758,564.509727019059,-155.36828745565816,633.6639040263276,537.9809992909305,530.9329548185232,582.4968098745574,-95.68290473539707,509.00950980399733,505.7712164904758,564.509727019059,537.9809992909305,530.9329548185232,582.4968098745574,42,77.0,24.000000000000004,146,上四丁目周辺
533512693,78.05816029913835,161.0717957632923,155.05464266004157,239.03775351476528,83.01363546415395,210.1190682329488,180.9967125684004,187.62104412523283,284.5865951042577,-29.122355664548394,161.07179576329227,155.05464266004157,239.03775351476528,180.99671256840043,187.62104412523283,284.5865951042577,405,781.0,284.0,262,上四丁目周辺
533512694,457.8957066188121,,,,,210.52011017642198,,,,,256.78514240037333,259.84630368297525,269.76489210982425,138.33479344412953,139.38363774578252,160.15220953731628,8,731.0000000000001,0.0,280,造船所前周辺
533512772,135.7276983751817,113.47056688066662,114.6650705658204,182.41361634158534,-22.257131494515065,1351.7426610518594,1374.9065959035777,1378.6663020022104,1463.9637750111888,23.163934851718295,113.47056688066661,114.6650705658204,182.41361634158534,1374.9065959035772,1378.6663020022104,1463.9637750111888,168,241.0,70.99999999999999,197,和田周辺
